model_name,model_family,training_type,split_used,validation_accuracy,validation_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,invalid_prediction_rate,selected_by_validation,hyperparameter_source,evidence_path,prediction_path,status,reason_if_skipped_or_failed
random_uniform,baseline,dummy,test,,,0.0494505494505494,0.045640018794094,0.0529602191219789,0.04924052107181141,0.04748061437336246,,False,fixed_or_not_applicable,results/baselines/classification_reports/random_uniform_report.json; results/baselines/confusion_matrices/random_uniform_confusion_matrix.png,outputs/predictions/random_uniform_test_predictions.jsonl,completed,
random_train_distribution,baseline,dummy,test,,,0.0593829247675401,0.0445159239499602,0.0600323510583396,0.044895398260155386,0.04478079430755476,,False,fixed_or_not_applicable,results/baselines/classification_reports/random_train_distribution_report.json; results/baselines/confusion_matrices/random_train_distribution_confusion_matrix.png,outputs/predictions/random_train_distribution_test_predictions.jsonl,completed,
majority_baseline,baseline,dummy,test,,,0.1200338123415046,0.0107169811320754,0.0257280020414998,0.0060016906170752326,0.05,,False,fixed_or_not_applicable,results/baselines/classification_reports/majority_baseline_report.json; results/baselines/confusion_matrices/majority_baseline_confusion_matrix.png,outputs/predictions/majority_baseline_test_predictions.jsonl,completed,
logistic_regression,classical,classical,test,,0.9442907459735717,0.9549873203719358,0.9419305241627208,0.954892972463496,0.9419421045329803,0.9422038897411878,,True,results/classical/classical_validation_grid.csv,results/classical/classification_reports/logistic_regression_report.json; results/classical/confusion_matrices/logistic_regression_confusion_matrix.png,outputs/predictions/logistic_regression_test_predictions.jsonl,completed,
linear_svm,classical,classical,test,,0.9579598520460362,0.963863060016906,0.9533659315308862,0.9634732703192472,0.9529142907182061,0.9543565088493354,,True,results/classical/classical_validation_grid.csv,results/classical/classification_reports/linear_svm_report.json; results/classical/confusion_matrices/linear_svm_confusion_matrix.png,outputs/predictions/linear_svm_test_predictions.jsonl,completed,
multinomial_nb,classical,classical,test,,0.913500249032316,0.9325866441251056,0.9112577337736262,0.9306694762247678,0.9150962424857874,0.9098984132670935,,True,results/classical/classical_validation_grid.csv,results/classical/classification_reports/multinomial_nb_report.json; results/classical/confusion_matrices/multinomial_nb_confusion_matrix.png,outputs/predictions/multinomial_nb_test_predictions.jsonl,completed,
distilbert-base-uncased,transformer_encoder,fine_tuned_encoder,test,0.965524625267666,0.9579914096999408,0.9649196956889264,0.9544062486712525,0.9648138361608009,0.9543559852380206,0.9547070244459481,,True,results/transformer/training_args.json,results/transformer/classification_reports/distilbert_base_uncased_report.json; results/transformer/confusion_matrices/distilbert_base_uncased_confusion_matrix.png,outputs/predictions/distilbert_base_uncased_test_predictions.jsonl,completed,
qwen_zero_shot,llm_prompting,prompted_llm,test,,,0.565,0.5039488016309485,0.5688091761624854,0.7124877450980392,0.49084383753501404,0.045,False,results/qwen/qwen_run_config.json,results/qwen/classification_reports/qwen_zero_shot_report.json; results/qwen/confusion_matrices/qwen_zero_shot_confusion_matrix.png,outputs/qwen_predictions.csv,completed,
qwen_few_shot,llm_prompting,prompted_llm,test,,,0.11,0.0099099099099099,0.0218018018018018,0.0055,0.05,1.0,False,results/qwen/qwen_run_config.json,results/qwen/classification_reports/qwen_few_shot_report.json; results/qwen/confusion_matrices/qwen_few_shot_confusion_matrix.png,outputs/qwen_predictions.csv,failed,All Qwen few-shot outputs were invalid; do not treat as a meaningful completed result.
bilstm,neural_sequence,neural_sequence,test,,,,,,,,,False,outputs/bilstm_results.json,,,pending,Configured in modules/sequence_model.py; run required.
bert-base-uncased,transformer_encoder,fine_tuned_encoder,test,,,,,,,,,False,outputs/hyperparameter_search_results.csv,,,pending,Runnable configuration pending; no completed evidence found.
nlpaueb/legal-bert-base-uncased,transformer_encoder,fine_tuned_encoder,test,,,,,,,,,False,outputs/hyperparameter_search_results.csv,,,pending,Runnable configuration pending; no completed evidence found.
nlpaueb/bert-base-uncased-contracts,transformer_encoder,fine_tuned_encoder,test,,,,,,,,,False,outputs/hyperparameter_search_results.csv,,,pending,Runnable configuration pending; no completed evidence found.
roberta-base,transformer_encoder,fine_tuned_encoder,test,,,,,,,,,False,outputs/hyperparameter_search_results.csv,,,pending,Runnable configuration pending; no completed evidence found.
microsoft/deberta-v3-base,transformer_encoder,fine_tuned_encoder,test,,,,,,,,,False,outputs/hyperparameter_search_results.csv,,,pending,Runnable configuration pending; no completed evidence found.
qwen_retrieval_few_shot,llm_prompting,retrieval_few_shot,test,,,,,,,,,False,outputs/qwen_retrieval_few_shot_predictions.csv,,,pending,Configured in modules/qwen_prompting.py; rerun Qwen required.
