model_family,model_name,label,precision,recall,f1_score,support,classification_report_path,f1_rank_within_model
baseline,random_uniform,Terminations,0.011764705882352941,0.02654867256637168,0.016304347826086956,113.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_uniform_report.json,19.0
baseline,random_uniform,Insurances,0.027906976744186046,0.047619047619047616,0.03519061583577713,126.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_uniform_report.json,13.0
baseline,random_uniform,Taxes,0.02304147465437788,0.027932960893854747,0.025252525252525252,179.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_uniform_report.json,17.0
baseline,random_uniform,Litigations,0.024154589371980676,0.0390625,0.029850746268656716,128.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_uniform_report.json,15.0
baseline,random_uniform,Further Assurances,0.01606425702811245,0.02631578947368421,0.0199501246882793,152.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_uniform_report.json,18.0
baseline,random_uniform,Confidentiality,0.04743083003952569,0.07453416149068323,0.057971014492753624,161.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_uniform_report.json,5.0
baseline,random_uniform,General,0.04888888888888889,0.05641025641025641,0.05238095238095238,195.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_uniform_report.json,8.0
baseline,random_uniform,Compliance With Laws,0.045871559633027525,0.04878048780487805,0.04728132387706856,205.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_uniform_report.json,11.0
baseline,random_uniform,Indemnifications,0.024691358024691357,0.04054054054054054,0.030690537084398978,148.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_uniform_report.json,14.0
baseline,random_uniform,Waivers,0.024193548387096774,0.03773584905660377,0.029484029484029485,159.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_uniform_report.json,16.0
baseline,random_train_distribution,Governing Laws,0.12716763005780346,0.11619718309859155,0.12143514259429623,568.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,1.0
baseline,random_train_distribution,Notices,0.09280742459396751,0.0975609756097561,0.09512485136741974,410.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,3.0
baseline,random_train_distribution,Counterparts,0.08048780487804878,0.07205240174672489,0.07603686635944701,458.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,5.0
baseline,random_train_distribution,Entire Agreements,0.09848484848484848,0.10569105691056911,0.10196078431372549,369.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,2.0
baseline,random_train_distribution,Severability,0.07547169811320754,0.05181347150259067,0.06144393241167435,386.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,6.0
baseline,random_train_distribution,Amendments,0.051181102362204724,0.0593607305936073,0.05496828752642706,219.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,8.0
baseline,random_train_distribution,Survival,0.0794979079497908,0.08962264150943396,0.08425720620842572,212.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,4.0
baseline,random_train_distribution,Assignments,0.05357142857142857,0.06282722513089005,0.05783132530120482,191.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,7.0
baseline,random_train_distribution,Expenses,0.028846153846153848,0.03314917127071823,0.030848329048843187,181.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,10.0
baseline,random_train_distribution,Terms,0.010582010582010581,0.011627906976744186,0.0110803324099723,172.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,18.0
baseline,random_train_distribution,Terminations,0.010752688172043012,0.017699115044247787,0.013377926421404682,113.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,17.0
baseline,random_train_distribution,Insurances,0.005154639175257732,0.007936507936507936,0.00625,126.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,20.0
baseline,random_train_distribution,Taxes,0.017341040462427744,0.01675977653631285,0.017045454545454544,179.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,15.0
baseline,random_train_distribution,Litigations,0.01948051948051948,0.0234375,0.02127659574468085,128.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,14.0
baseline,random_train_distribution,Further Assurances,0.02564102564102564,0.02631578947368421,0.025974025974025976,152.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,12.0
baseline,random_train_distribution,Confidentiality,0.024390243902439025,0.024844720496894408,0.024615384615384615,161.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,13.0
baseline,random_train_distribution,General,0.040268456375838924,0.03076923076923077,0.03488372093023256,195.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,9.0
baseline,random_train_distribution,Compliance With Laws,0.01935483870967742,0.014634146341463415,0.016666666666666666,205.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,16.0
baseline,random_train_distribution,Indemnifications,0.029850746268656716,0.02702702702702703,0.028368794326241134,148.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,11.0
baseline,random_train_distribution,Waivers,0.007575757575757576,0.006289308176100629,0.006872852233676976,159.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/random_train_distribution_report.json,19.0
baseline,majority_baseline,Governing Laws,0.12003381234150465,1.0,0.21433962264150944,568.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,1.0
baseline,majority_baseline,Notices,0.0,0.0,0.0,410.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,Counterparts,0.0,0.0,0.0,458.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,Entire Agreements,0.0,0.0,0.0,369.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,Severability,0.0,0.0,0.0,386.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,Amendments,0.0,0.0,0.0,219.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,Survival,0.0,0.0,0.0,212.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,Assignments,0.0,0.0,0.0,191.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,Expenses,0.0,0.0,0.0,181.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,Terms,0.0,0.0,0.0,172.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,Terminations,0.0,0.0,0.0,113.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,Insurances,0.0,0.0,0.0,126.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,Taxes,0.0,0.0,0.0,179.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,Litigations,0.0,0.0,0.0,128.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,Further Assurances,0.0,0.0,0.0,152.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,Confidentiality,0.0,0.0,0.0,161.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,General,0.0,0.0,0.0,195.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,Compliance With Laws,0.0,0.0,0.0,205.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,Indemnifications,0.0,0.0,0.0,148.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
baseline,majority_baseline,Waivers,0.0,0.0,0.0,159.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/baselines/classification_reports/majority_baseline_report.json,2.0
classical,logistic_regression,Governing Laws,0.9982238010657194,0.9894366197183099,0.9938107869142352,568.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,2.0
classical,logistic_regression,Notices,0.9827160493827161,0.9707317073170731,0.9766871165644172,410.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,6.0
classical,logistic_regression,Counterparts,0.9956427015250545,0.9978165938864629,0.9967284623773174,458.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,1.0
classical,logistic_regression,Entire Agreements,0.9864864864864865,0.989159891598916,0.9878213802435724,369.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,4.0
classical,logistic_regression,Severability,0.9896640826873385,0.9922279792746114,0.9909443725743855,386.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,3.0
classical,logistic_regression,Amendments,0.9403669724770642,0.9360730593607306,0.9382151029748284,219.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,16.0
classical,logistic_regression,Survival,0.971830985915493,0.9764150943396226,0.9741176470588235,212.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,7.0
classical,logistic_regression,Assignments,0.9526315789473684,0.9476439790575916,0.9501312335958005,191.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,15.0
classical,logistic_regression,Expenses,0.9565217391304348,0.9723756906077348,0.9643835616438357,181.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,13.0
classical,logistic_regression,Terms,0.925,0.8604651162790697,0.891566265060241,172.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,18.0
classical,logistic_regression,Terminations,0.8034188034188035,0.831858407079646,0.8173913043478261,113.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,19.0
classical,logistic_regression,Insurances,0.9606299212598425,0.9682539682539683,0.9644268774703557,126.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,12.0
classical,logistic_regression,Taxes,0.9405405405405406,0.9720670391061452,0.9560439560439561,179.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,14.0
classical,logistic_regression,Litigations,0.9761904761904762,0.9609375,0.968503937007874,128.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,10.0
classical,logistic_regression,Further Assurances,0.98,0.9671052631578947,0.9735099337748344,152.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,8.0
classical,logistic_regression,Confidentiality,0.9698795180722891,1.0,0.9847094801223242,161.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,5.0
classical,logistic_regression,General,0.7676767676767676,0.7794871794871795,0.7735368956743003,195.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,20.0
classical,logistic_regression,Compliance With Laws,0.9753694581280788,0.9658536585365853,0.9705882352941176,205.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,9.0
classical,logistic_regression,Indemnifications,0.96,0.972972972972973,0.9664429530201343,148.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,11.0
classical,logistic_regression,Waivers,0.9316770186335404,0.9433962264150944,0.9375,159.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,17.0
classical,linear_svm,Governing Laws,0.9964726631393298,0.9947183098591549,0.9955947136563876,568.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,2.0
classical,linear_svm,Notices,0.9828009828009828,0.975609756097561,0.9791921664626683,410.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,6.0
classical,linear_svm,Counterparts,0.9956427015250545,0.9978165938864629,0.9967284623773174,458.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,1.0
classical,linear_svm,Entire Agreements,0.9786096256684492,0.991869918699187,0.9851951547779273,369.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,5.0
classical,linear_svm,Severability,0.9845360824742269,0.9896373056994818,0.9870801033591732,386.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,4.0
classical,linear_svm,Amendments,0.9411764705882353,0.9497716894977168,0.9454545454545454,219.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,16.0
classical,linear_svm,Survival,0.9719626168224299,0.9811320754716981,0.9765258215962441,212.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,7.0
classical,linear_svm,Assignments,0.9393939393939394,0.9738219895287958,0.9562982005141388,191.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,15.0
classical,linear_svm,Expenses,0.9617486338797814,0.9723756906077348,0.967032967032967,181.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,13.0
classical,linear_svm,Terms,0.9325153374233128,0.8837209302325582,0.9074626865671642,172.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,18.0
classical,linear_svm,Terminations,0.8275862068965517,0.8495575221238938,0.8384279475982532,113.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,19.0
classical,linear_svm,Insurances,0.9609375,0.9761904761904762,0.968503937007874,126.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,12.0
classical,linear_svm,Taxes,0.9361702127659575,0.9832402234636871,0.9591280653950953,179.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,14.0
classical,linear_svm,Litigations,0.9841269841269841,0.96875,0.9763779527559056,128.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,8.0
classical,linear_svm,Further Assurances,0.9736842105263158,0.9736842105263158,0.9736842105263158,152.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,9.0
classical,linear_svm,Confidentiality,0.9757575757575757,1.0,0.9877300613496932,161.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,3.0
classical,linear_svm,General,0.8538011695906432,0.7487179487179487,0.7978142076502732,195.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,20.0
classical,linear_svm,Compliance With Laws,0.9754901960784313,0.9707317073170731,0.9731051344743277,205.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,10.0
classical,linear_svm,Indemnifications,0.972972972972973,0.972972972972973,0.972972972972973,148.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,11.0
classical,linear_svm,Waivers,0.9375,0.9433962264150944,0.9404388714733543,159.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,17.0
classical,multinomial_nb,Governing Laws,0.9946808510638298,0.9876760563380281,0.991166077738516,568.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,2.0
classical,multinomial_nb,Notices,0.9894179894179894,0.9121951219512195,0.949238578680203,410.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,9.0
classical,multinomial_nb,Counterparts,0.9956236323851203,0.9934497816593887,0.994535519125683,458.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,1.0
classical,multinomial_nb,Entire Agreements,0.9454545454545454,0.986449864498645,0.9655172413793104,369.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,5.0
classical,multinomial_nb,Severability,0.9845360824742269,0.9896373056994818,0.9870801033591732,386.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,3.0
classical,multinomial_nb,Amendments,0.8847926267281107,0.8767123287671232,0.8807339449541285,219.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,17.0
classical,multinomial_nb,Survival,0.9441860465116279,0.9575471698113207,0.9508196721311475,212.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,8.0
classical,multinomial_nb,Assignments,0.9637305699481865,0.9738219895287958,0.96875,191.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,4.0
classical,multinomial_nb,Expenses,0.9281767955801105,0.9281767955801105,0.9281767955801105,181.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,14.0
classical,multinomial_nb,Terms,0.8260869565217391,0.7732558139534884,0.7987987987987988,172.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,18.0
classical,multinomial_nb,Terminations,0.7596153846153846,0.6991150442477876,0.728110599078341,113.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,19.0
classical,multinomial_nb,Insurances,0.944,0.9365079365079365,0.9402390438247012,126.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,11.0
classical,multinomial_nb,Taxes,0.9378531073446328,0.9273743016759777,0.9325842696629213,179.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,12.0
classical,multinomial_nb,Litigations,0.9104477611940298,0.953125,0.9312977099236641,128.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,13.0
classical,multinomial_nb,Further Assurances,0.9426751592356688,0.9736842105263158,0.9579288025889967,152.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,7.0
classical,multinomial_nb,Confidentiality,0.9230769230769231,0.968944099378882,0.9454545454545454,161.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,10.0
classical,multinomial_nb,General,0.6698564593301436,0.717948717948718,0.693069306930693,195.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,20.0
classical,multinomial_nb,Compliance With Laws,0.9701492537313433,0.9512195121951219,0.9605911330049262,205.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,6.0
classical,multinomial_nb,Indemnifications,0.8475609756097561,0.9391891891891891,0.8910256410256411,148.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,16.0
classical,multinomial_nb,Waivers,0.9215686274509803,0.8867924528301887,0.9038461538461539,159.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,15.0
transformer,distilbert-base-uncased,Governing Laws,0.9982332155477032,0.9947183098591549,0.9964726631393298,568.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,1.0
transformer,distilbert-base-uncased,Notices,0.9828009828009828,0.975609756097561,0.9791921664626683,410.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,7.0
transformer,distilbert-base-uncased,Counterparts,0.9934782608695653,0.9978165938864629,0.9956427015250545,458.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,2.0
transformer,distilbert-base-uncased,Entire Agreements,0.9757412398921833,0.981029810298103,0.9783783783783784,369.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,8.0
transformer,distilbert-base-uncased,Severability,0.9947916666666666,0.9896373056994818,0.9922077922077922,386.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,3.0
transformer,distilbert-base-uncased,Amendments,0.9241071428571429,0.9452054794520548,0.9345372460496614,219.0,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/transformer/classification_reports/distilbert_base_uncased_report.json,17.0
